name,location,rating
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Tooting Bec Rooms at Fishponds by DC London Rooms</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Wandsworth, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">18 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Large 4 bed house near Borough Market</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Spacious 2 Bedroom Apartment</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Modern Contemporary 2BDR flat in Hackney</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Hackney, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The Waterloo Collection</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Southwark, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">1 review</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Central London Luxury Studios Fulham Close to Underground Newly Refurbished</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Hammersmith and Fulham, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">115 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The Wembley Central Collection</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Brent, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">2 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">GreenCroft 3 bedroom apartment</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Camden, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">1 BDR in heart of Fitzrovia/Near Oxford street!</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">3 external reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Notting Hill, Portobello, Kensington Chelsea</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Kensington and Chelsea, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Ground floor flat central London</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Luxury mid century Apartment</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Islington, London</span>",
"<div class=""f6431b446c a23c043802"" data-testid=""title"">London Lodge Hotel</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Kensington and Chelsea, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">871 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">London Studios Very Close to Central Line Underground Shepherds Bush and Westfield Newly Refurbished</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Hammersmith and Fulham, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">400 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Rest Boutique Notting Hill</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Kensington and Chelsea, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">112 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Studios2Let</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Camden, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">8,304 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Crane Court by City2Stay</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">City of London, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">144 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Princes Square</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">306 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Park Grand London Kensington</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Kensington and Chelsea, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">8,392 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The Dilly</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">2,821 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Maldron Hotel Finsbury Park, London</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Islington, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">190 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">The May Fair, A Radisson Collection Hotel, Mayfair London</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Westminster Borough, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">4,041 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Kensal Lodge 2 Guest House</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Brent, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">43 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Hotel Saint London</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">City of London, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">1,663 reviews</div>"
"<div class=""f6431b446c a23c043802"" data-testid=""title"">Zedwell Underground Tottenham Court Rd</div>","<span class=""f4bd0794db b4273d69aa"" data-testid=""address"">Camden, London</span>","<div class=""abf093bdfe f45d8e4c32 d935416c47"">886 reviews</div>"
